behaviorLogId,studentId,yearGroup,academicYear,date,primaryCategory,subcategory,severity,details,status,dateResolved
20,1011,1,2019/20,2019-12-11,Engagement/Participation,Off-Task,Severe,The student was frequently distracted and off-task during lessons.,Resolved,2019-12-26
21,1011,1,2019/20,2020-05-10,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Resolved,2020-06-15
22,1012,1,2019/20,2020-02-15,Safety and Discipline,Leaving School Grounds Without Permission,Severe,The student left the school premises without authorization.,Resolved,2020-04-07
23,1012,1,2019/20,2019-11-24,Attendance Issues,Absense,Mild,The student was absent for an entire day without prior notice.,Pending,
24,1012,1,2019/20,2020-02-23,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
25,1013,1,2019/20,2020-06-16,Attendance Issues,Absense,Moderate,The student was absent for an entire day without prior notice.,Resolved,2020-08-01
26,1013,1,2019/20,2020-07-15,Disruptive Behavior,Interrupting,Severe,The student frequently interrupted the teacher during lessons.,Pending,
27,1013,1,2019/20,2020-07-24,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
28,1014,1,2019/20,2020-01-31,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Pending,
29,1015,1,2019/20,2019-11-05,Attendance Issues,Absense,Mild,The student was absent for an entire day without prior notice.,Resolved,2019-11-30
30,1015,1,2019/20,2019-10-01,Safety and Discipline,Leaving School Grounds Without Permission,Severe,The student left the school premises without authorization.,Pending,
31,1015,1,2019/20,2019-10-19,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
32,1016,1,2019/20,2019-11-01,Aggressive/Unsafe Behavior,Bullying,Severe,The student was reported for bullying peers.,Pending,
33,1016,1,2019/20,2020-02-14,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
34,1017,1,2019/20,2020-03-02,Attendance Issues,Late Arrival,Moderate,The student arrived late without a valid excuse.,Pending,
35,1017,1,2019/20,2020-06-22,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Pending,
36,1018,1,2019/20,2019-12-18,Disruptive Behavior,Defiance,Moderate,The student showed defiant behavior towards instructions.,Pending,
37,1018,1,2019/20,2019-10-01,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Resolved,2019-12-23
38,1018,1,2019/20,2020-04-22,Engagement/Participation,Not Completing Assignments,Mild,The student failed to submit or complete assigned tasks.,Pending,
39,1019,1,2019/20,2020-07-17,Attendance Issues,Absense,Moderate,The student was absent for an entire day without prior notice.,Resolved,2020-10-08
40,1019,1,2019/20,2020-07-08,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Pending,
41,1020,1,2019/20,2020-04-14,Attendance Issues,Absense,Moderate,The student was absent for an entire day without prior notice.,Pending,
42,1020,1,2019/20,2019-11-05,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Pending,
43,1021,1,2019/20,2019-09-27,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
44,1021,1,2019/20,2020-01-17,Disruptive Behavior,Talking,Moderate,"The student talked during lessons, disrupting the class.",Pending,
45,1021,1,2019/20,2019-12-02,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
46,1022,1,2019/20,2020-04-13,Disruptive Behavior,Interrupting,Severe,The student frequently interrupted the teacher during lessons.,Pending,
47,1022,1,2019/20,2020-07-02,Safety and Discipline,Bringing Prohibited Items,Severe,The student brought a prohibited item to school.,Pending,
48,1022,1,2019/20,2020-03-07,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
49,1026,1,2019/20,2020-03-03,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Pending,
50,1026,1,2019/20,2020-05-30,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Resolved,2020-07-16
51,1027,1,2019/20,2019-10-22,Engagement/Participation,Off-Task,Moderate,The student was frequently distracted and off-task during lessons.,Pending,
52,1027,1,2019/20,2020-01-16,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Pending,
53,1027,1,2019/20,2020-01-24,Safety and Discipline,Bringing Prohibited Items,Severe,The student brought a prohibited item to school.,Resolved,2020-03-07
54,1028,1,2019/20,2019-11-08,Attendance Issues,Late Arrival,Mild,The student arrived late without a valid excuse.,Pending,
55,1028,1,2019/20,2019-11-10,Engagement/Participation,Not Completing Assignments,Mild,The student failed to submit or complete assigned tasks.,Pending,
56,1029,1,2019/20,2020-03-14,Disruptive Behavior,Interrupting,Mild,The student frequently interrupted the teacher during lessons.,Resolved,2020-04-07
57,1030,1,2019/20,2020-05-24,Aggressive/Unsafe Behavior,Verbal Aggression,Severe,The student used abusive or offensive language.,Pending,
58,1030,1,2019/20,2020-02-06,Disruptive Behavior,Talking,Moderate,"The student talked during lessons, disrupting the class.",Resolved,2020-04-24
59,1031,1,2019/20,2020-05-24,Disruptive Behavior,Defiance,Mild,The student showed defiant behavior towards instructions.,Resolved,2020-07-22
60,1031,1,2019/20,2019-11-17,Engagement/Participation,Sleeping in Class,Severe,The student was found sleeping during a lecture.,Pending,
61,1032,1,2019/20,2020-01-08,Attendance Issues,Late Arrival,Moderate,The student arrived late without a valid excuse.,Pending,
62,1032,1,2019/20,2020-07-30,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Pending,
63,1033,1,2019/20,2019-12-08,Disruptive Behavior,Interrupting,Severe,The student frequently interrupted the teacher during lessons.,Pending,
64,1033,1,2019/20,2020-03-28,Aggressive/Unsafe Behavior,Bullying,Severe,The student was reported for bullying peers.,Resolved,2020-06-18
65,1034,1,2019/20,2020-01-19,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Pending,
66,1036,1,2019/20,2020-02-06,Safety and Discipline,Leaving School Grounds Without Permission,Moderate,The student left the school premises without authorization.,Pending,
67,1036,1,2019/20,2019-10-23,Safety and Discipline,Leaving School Grounds Without Permission,Moderate,The student left the school premises without authorization.,Pending,
68,1039,1,2019/20,2019-10-14,Disruptive Behavior,Defiance,Mild,The student showed defiant behavior towards instructions.,Pending,
69,1039,1,2019/20,2020-06-26,Attendance Issues,Late Arrival,Severe,The student arrived late without a valid excuse.,Pending,
70,1039,1,2019/20,2020-07-14,Engagement/Participation,Not Completing Assignments,Moderate,The student failed to submit or complete assigned tasks.,Pending,
71,1042,1,2019/20,2019-11-11,Aggressive/Unsafe Behavior,Physical Aggression,Severe,The student displayed physical aggression towards others.,Resolved,2019-11-26
72,1043,1,2019/20,2019-10-08,Engagement/Participation,Not Completing Assignments,Severe,The student failed to submit or complete assigned tasks.,Pending,
73,1044,1,2019/20,2019-12-27,Engagement/Participation,Not Completing Assignments,Severe,The student failed to submit or complete assigned tasks.,Pending,
74,1044,1,2019/20,2020-07-03,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
75,1045,1,2019/20,2020-05-08,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
76,1045,1,2019/20,2019-09-14,Attendance Issues,Late Arrival,Mild,The student arrived late without a valid excuse.,Resolved,2019-09-29
77,1045,1,2019/20,2019-10-29,Disruptive Behavior,Interrupting,Mild,The student frequently interrupted the teacher during lessons.,Resolved,2019-11-09
78,1047,1,2019/20,2019-11-16,Engagement/Participation,Sleeping in Class,Mild,The student was found sleeping during a lecture.,Resolved,2019-12-16
79,1047,1,2019/20,2020-04-28,Engagement/Participation,Sleeping in Class,Mild,The student was found sleeping during a lecture.,Pending,
80,1047,1,2019/20,2019-12-11,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Pending,
81,1049,1,2019/20,2020-01-01,Engagement/Participation,Lack of Participation,Mild,The student did not participate in class activities.,Pending,
82,1049,1,2019/20,2019-10-10,Disruptive Behavior,Defiance,Severe,The student showed defiant behavior towards instructions.,Pending,
83,1049,1,2019/20,2019-09-23,Engagement/Participation,Lack of Participation,Severe,The student did not participate in class activities.,Resolved,2019-10-10
84,1050,2,2019/20,2020-01-28,Attendance Issues,Late Arrival,Mild,The student arrived late without a valid excuse.,Pending,
85,1050,2,2019/20,2019-10-08,Attendance Issues,Late Arrival,Moderate,The student arrived late without a valid excuse.,Pending,
86,1050,2,2019/20,2019-09-02,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Pending,
87,1051,2,2019/20,2020-04-21,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
88,1051,2,2019/20,2020-07-19,Engagement/Participation,Sleeping in Class,Mild,The student was found sleeping during a lecture.,Pending,
89,1052,2,2019/20,2020-01-25,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Pending,
90,1053,2,2019/20,2020-06-12,Attendance Issues,Late Arrival,Severe,The student arrived late without a valid excuse.,Pending,
91,1053,2,2019/20,2020-04-09,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
92,1054,2,2019/20,2019-10-31,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
93,1054,2,2019/20,2020-06-22,Engagement/Participation,Lack of Participation,Severe,The student did not participate in class activities.,Resolved,2020-06-29
94,1057,2,2019/20,2020-02-24,Engagement/Participation,Not Completing Assignments,Severe,The student failed to submit or complete assigned tasks.,Pending,
95,1057,2,2019/20,2020-05-07,Attendance Issues,Absense,Severe,The student was absent for an entire day without prior notice.,Pending,
96,1057,2,2019/20,2020-01-24,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
97,1058,2,2019/20,2019-09-06,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Resolved,2019-10-07
98,1058,2,2019/20,2020-03-14,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Resolved,2020-03-29
99,1059,2,2019/20,2020-02-22,Disruptive Behavior,Talking,Mild,"The student talked during lessons, disrupting the class.",Pending,
100,1060,2,2019/20,2019-11-07,Disruptive Behavior,Interrupting,Moderate,The student frequently interrupted the teacher during lessons.,Resolved,2020-01-23
101,1060,2,2019/20,2019-09-07,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Pending,
102,1061,2,2019/20,2020-05-11,Aggressive/Unsafe Behavior,Physical Aggression,Mild,The student displayed physical aggression towards others.,Resolved,2020-05-15
103,1061,2,2019/20,2020-06-04,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Pending,
104,1061,2,2019/20,2020-05-29,Attendance Issues,Late Arrival,Severe,The student arrived late without a valid excuse.,Pending,
105,1062,2,2019/20,2020-07-26,Safety and Discipline,Bringing Prohibited Items,Severe,The student brought a prohibited item to school.,Pending,
106,1063,2,2019/20,2020-02-28,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
107,1063,2,2019/20,2020-05-07,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Pending,
108,1063,2,2019/20,2020-03-07,Engagement/Participation,Lack of Participation,Moderate,The student did not participate in class activities.,Resolved,2020-05-05
109,1066,2,2019/20,2020-02-03,Engagement/Participation,Off-Task,Moderate,The student was frequently distracted and off-task during lessons.,Pending,
110,1068,2,2019/20,2019-09-03,Engagement/Participation,Off-Task,Severe,The student was frequently distracted and off-task during lessons.,Pending,
111,1068,2,2019/20,2019-12-30,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
112,1069,2,2019/20,2020-03-17,Disruptive Behavior,Defiance,Moderate,The student showed defiant behavior towards instructions.,Pending,
113,1069,2,2019/20,2019-12-15,Disruptive Behavior,Defiance,Severe,The student showed defiant behavior towards instructions.,Pending,
114,1069,2,2019/20,2019-11-17,Disruptive Behavior,Talking,Mild,"The student talked during lessons, disrupting the class.",Pending,
115,1070,2,2019/20,2020-02-23,Disruptive Behavior,Defiance,Severe,The student showed defiant behavior towards instructions.,Pending,
116,1071,2,2019/20,2020-01-19,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
117,1071,2,2019/20,2020-01-14,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Resolved,2020-01-15
118,1071,2,2019/20,2020-02-24,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Pending,
119,1072,2,2019/20,2019-12-18,Aggressive/Unsafe Behavior,Bullying,Mild,The student was reported for bullying peers.,Pending,
120,1073,2,2019/20,2020-02-28,Aggressive/Unsafe Behavior,Verbal Aggression,Mild,The student used abusive or offensive language.,Pending,
121,1073,2,2019/20,2020-04-08,Attendance Issues,Absense,Moderate,The student was absent for an entire day without prior notice.,Resolved,2020-06-30
122,1073,2,2019/20,2020-06-17,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Pending,
123,1074,2,2019/20,2019-09-29,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Resolved,2019-11-18
124,1076,2,2019/20,2019-11-24,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Pending,
125,1077,2,2019/20,2020-05-13,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Pending,
126,1077,2,2019/20,2020-05-25,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
127,1077,2,2019/20,2020-07-20,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Pending,
128,1078,2,2019/20,2020-06-14,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Resolved,2020-08-23
129,1080,2,2019/20,2020-03-10,Disruptive Behavior,Talking,Mild,"The student talked during lessons, disrupting the class.",Pending,
130,1080,2,2019/20,2020-05-06,Aggressive/Unsafe Behavior,Verbal Aggression,Severe,The student used abusive or offensive language.,Pending,
131,1081,2,2019/20,2019-10-08,Disruptive Behavior,Talking,Moderate,"The student talked during lessons, disrupting the class.",Pending,
132,1081,2,2019/20,2020-01-10,Safety and Discipline,Leaving School Grounds Without Permission,Moderate,The student left the school premises without authorization.,Pending,
133,1081,2,2019/20,2019-12-09,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Pending,
134,1082,2,2019/20,2019-10-20,Disruptive Behavior,Interrupting,Mild,The student frequently interrupted the teacher during lessons.,Pending,
135,1082,2,2019/20,2020-01-19,Disruptive Behavior,Talking,Mild,"The student talked during lessons, disrupting the class.",Pending,
136,1083,2,2019/20,2020-02-03,Aggressive/Unsafe Behavior,Verbal Aggression,Severe,The student used abusive or offensive language.,Pending,
137,1083,2,2019/20,2020-01-22,Engagement/Participation,Not Completing Assignments,Moderate,The student failed to submit or complete assigned tasks.,Pending,
138,1083,2,2019/20,2020-05-19,Safety and Discipline,Bringing Prohibited Items,Severe,The student brought a prohibited item to school.,Pending,
139,1084,2,2019/20,2020-01-27,Safety and Discipline,Bringing Prohibited Items,Severe,The student brought a prohibited item to school.,Pending,
140,1086,2,2019/20,2019-09-07,Engagement/Participation,Lack of Participation,Moderate,The student did not participate in class activities.,Pending,
141,1086,2,2019/20,2020-01-16,Disruptive Behavior,Interrupting,Moderate,The student frequently interrupted the teacher during lessons.,Pending,
142,1086,2,2019/20,2020-04-18,Aggressive/Unsafe Behavior,Verbal Aggression,Severe,The student used abusive or offensive language.,Pending,
143,1087,2,2019/20,2020-04-19,Attendance Issues,Truancy,Moderate,The student skipped school without any permission.,Pending,
144,1088,2,2019/20,2019-10-07,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
145,1088,2,2019/20,2020-02-29,Engagement/Participation,Off-Task,Mild,The student was frequently distracted and off-task during lessons.,Resolved,2020-04-29
146,1088,2,2019/20,2019-12-12,Disruptive Behavior,Interrupting,Moderate,The student frequently interrupted the teacher during lessons.,Pending,
147,1089,2,2019/20,2020-04-24,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
148,1090,2,2019/20,2020-05-11,Disruptive Behavior,Interrupting,Mild,The student frequently interrupted the teacher during lessons.,Pending,
149,1091,2,2019/20,2020-04-01,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Pending,
150,1091,2,2019/20,2020-02-01,Safety and Discipline,Leaving School Grounds Without Permission,Mild,The student left the school premises without authorization.,Pending,
151,1093,2,2019/20,2019-11-03,Engagement/Participation,Not Completing Assignments,Severe,The student failed to submit or complete assigned tasks.,Pending,
152,1093,2,2019/20,2020-04-19,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
153,1094,2,2019/20,2020-01-05,Safety and Discipline,Vandalism,Moderate,The student damaged school property intentionally.,Pending,
154,1094,2,2019/20,2019-12-12,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
155,1094,2,2019/20,2020-06-18,Engagement/Participation,Off-Task,Severe,The student was frequently distracted and off-task during lessons.,Pending,
156,1095,2,2019/20,2020-04-20,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
157,1096,2,2019/20,2020-05-27,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Pending,
158,1096,2,2019/20,2020-01-31,Attendance Issues,Late Arrival,Severe,The student arrived late without a valid excuse.,Pending,
159,1096,2,2019/20,2020-06-10,Engagement/Participation,Sleeping in Class,Severe,The student was found sleeping during a lecture.,Resolved,2020-07-11
160,1099,3,2019/20,2020-01-02,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Pending,
161,1099,3,2019/20,2019-11-13,Engagement/Participation,Lack of Participation,Mild,The student did not participate in class activities.,Pending,
162,1099,3,2019/20,2020-05-27,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
163,1100,3,2019/20,2019-11-20,Engagement/Participation,Off-Task,Severe,The student was frequently distracted and off-task during lessons.,Pending,
164,1100,3,2019/20,2020-06-29,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
165,1101,3,2019/20,2020-05-22,Attendance Issues,Absense,Severe,The student was absent for an entire day without prior notice.,Pending,
166,1101,3,2019/20,2020-07-25,Attendance Issues,Late Arrival,Severe,The student arrived late without a valid excuse.,Pending,
167,1103,3,2019/20,2020-04-10,Aggressive/Unsafe Behavior,Bullying,Mild,The student was reported for bullying peers.,Pending,
168,1103,3,2019/20,2020-07-24,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Pending,
169,1103,3,2019/20,2020-02-04,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Pending,
170,1104,3,2019/20,2020-05-09,Attendance Issues,Truancy,Mild,The student skipped school without any permission.,Pending,
171,1104,3,2019/20,2019-11-04,Aggressive/Unsafe Behavior,Physical Aggression,Mild,The student displayed physical aggression towards others.,Resolved,2019-12-21
172,1104,3,2019/20,2019-12-27,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Pending,
173,1105,3,2019/20,2019-09-04,Attendance Issues,Truancy,Moderate,The student skipped school without any permission.,Pending,
174,1105,3,2019/20,2019-12-11,Attendance Issues,Truancy,Moderate,The student skipped school without any permission.,Pending,
175,1106,3,2019/20,2020-05-28,Aggressive/Unsafe Behavior,Bullying,Severe,The student was reported for bullying peers.,Pending,
176,1108,3,2019/20,2020-05-26,Attendance Issues,Absense,Moderate,The student was absent for an entire day without prior notice.,Resolved,2020-08-07
177,1108,3,2019/20,2019-09-26,Disruptive Behavior,Interrupting,Mild,The student frequently interrupted the teacher during lessons.,Pending,
178,1109,3,2019/20,2019-11-22,Disruptive Behavior,Defiance,Moderate,The student showed defiant behavior towards instructions.,Pending,
179,1110,3,2019/20,2019-09-25,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Pending,
180,1112,3,2019/20,2020-04-30,Engagement/Participation,Lack of Participation,Moderate,The student did not participate in class activities.,Pending,
181,1112,3,2019/20,2020-06-11,Engagement/Participation,Lack of Participation,Severe,The student did not participate in class activities.,Pending,
182,1113,3,2019/20,2020-05-27,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
183,1113,3,2019/20,2019-11-13,Safety and Discipline,Leaving School Grounds Without Permission,Moderate,The student left the school premises without authorization.,Resolved,2019-12-05
184,1114,3,2019/20,2020-05-12,Engagement/Participation,Not Completing Assignments,Moderate,The student failed to submit or complete assigned tasks.,Pending,
185,1114,3,2019/20,2020-07-06,Disruptive Behavior,Interrupting,Severe,The student frequently interrupted the teacher during lessons.,Resolved,2020-07-19
186,1115,3,2019/20,2020-07-26,Aggressive/Unsafe Behavior,Physical Aggression,Severe,The student displayed physical aggression towards others.,Resolved,2020-09-29
187,1116,3,2019/20,2019-11-02,Attendance Issues,Late Arrival,Mild,The student arrived late without a valid excuse.,Resolved,2019-12-06
188,1116,3,2019/20,2020-04-25,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Pending,
189,1117,3,2019/20,2019-12-16,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Pending,
190,1117,3,2019/20,2020-05-07,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
191,1117,3,2019/20,2020-02-01,Safety and Discipline,Leaving School Grounds Without Permission,Mild,The student left the school premises without authorization.,Pending,
192,1118,3,2019/20,2020-06-06,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Pending,
193,1119,3,2019/20,2020-03-14,Safety and Discipline,Leaving School Grounds Without Permission,Severe,The student left the school premises without authorization.,Pending,
194,1119,3,2019/20,2020-01-16,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Pending,
195,1119,3,2019/20,2020-04-14,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
196,1120,3,2019/20,2019-12-17,Disruptive Behavior,Interrupting,Severe,The student frequently interrupted the teacher during lessons.,Pending,
197,1120,3,2019/20,2020-03-12,Engagement/Participation,Off-Task,Mild,The student was frequently distracted and off-task during lessons.,Pending,
198,1121,3,2019/20,2020-06-13,Engagement/Participation,Sleeping in Class,Severe,The student was found sleeping during a lecture.,Pending,
199,1121,3,2019/20,2020-06-04,Disruptive Behavior,Talking,Mild,"The student talked during lessons, disrupting the class.",Pending,
200,1122,3,2019/20,2020-05-14,Disruptive Behavior,Talking,Mild,"The student talked during lessons, disrupting the class.",Pending,
201,1122,3,2019/20,2020-04-02,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
202,1123,3,2019/20,2019-09-19,Engagement/Participation,Not Completing Assignments,Moderate,The student failed to submit or complete assigned tasks.,Resolved,2019-11-03
203,1125,3,2019/20,2020-02-05,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Resolved,2020-02-14
204,1125,3,2019/20,2020-07-07,Engagement/Participation,Sleeping in Class,Mild,The student was found sleeping during a lecture.,Resolved,2020-09-06
205,1126,3,2019/20,2020-04-03,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Pending,
206,1130,3,2019/20,2019-09-24,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
207,1132,3,2019/20,2020-01-13,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Resolved,2020-03-11
208,1132,3,2019/20,2020-02-17,Disruptive Behavior,Interrupting,Severe,The student frequently interrupted the teacher during lessons.,Pending,
209,1133,3,2019/20,2020-03-16,Safety and Discipline,Vandalism,Moderate,The student damaged school property intentionally.,Pending,
210,1133,3,2019/20,2019-10-31,Engagement/Participation,Sleeping in Class,Severe,The student was found sleeping during a lecture.,Pending,
211,1133,3,2019/20,2020-03-30,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Resolved,2020-06-08
212,1134,3,2019/20,2020-04-30,Aggressive/Unsafe Behavior,Bullying,Severe,The student was reported for bullying peers.,Pending,
213,1134,3,2019/20,2020-07-03,Attendance Issues,Truancy,Mild,The student skipped school without any permission.,Pending,
214,1135,3,2019/20,2019-10-26,Attendance Issues,Absense,Severe,The student was absent for an entire day without prior notice.,Pending,
215,1135,3,2019/20,2020-03-21,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Resolved,2020-06-10
216,1135,3,2019/20,2020-04-05,Engagement/Participation,Sleeping in Class,Moderate,The student was found sleeping during a lecture.,Pending,
217,1136,3,2019/20,2020-02-14,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Pending,
218,1136,3,2019/20,2019-10-13,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
219,1136,3,2019/20,2020-03-01,Attendance Issues,Late Arrival,Moderate,The student arrived late without a valid excuse.,Resolved,2020-05-25
220,1137,3,2019/20,2019-09-20,Disruptive Behavior,Interrupting,Moderate,The student frequently interrupted the teacher during lessons.,Pending,
221,1138,3,2019/20,2020-02-11,Attendance Issues,Absense,Moderate,The student was absent for an entire day without prior notice.,Pending,
222,1138,3,2019/20,2020-02-06,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
223,1139,3,2019/20,2020-06-04,Disruptive Behavior,Talking,Moderate,"The student talked during lessons, disrupting the class.",Pending,
224,1140,3,2019/20,2019-10-31,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
225,1140,3,2019/20,2020-07-23,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Resolved,2020-08-14
